atletas.slug,atletas.atleta_id,atletas.rodada_id,atletas.clube_id,atletas.posicao_id,atletas.status_id,atletas.pontos_num,atletas.preco_num,atletas.variacao_num,atletas.media_num,atletas.clube.id.full.name,CA,FC,FD,FF,FS,G,I,PE,RB,DD,GS,SG,A,FT,DP,GC,PP,CV
fernandinho,91130,3,265,ata,Nulo,0,2,0,0,Bahia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
douglas,92497,3,265,mei,Provável,2.2,5.1,-0.9,2.2,Bahia,NA,6,1,1,4,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
fernando-medeiros,92841,3,265,mei,Nulo,0,2,0,0,Bahia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
paulinho,91626,3,265,lat,Dúvida,5.5,4.77,0.77,5.5,Bahia,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA
geovane-itinga,94980,3,265,ata,Nulo,0,2,0,0,Bahia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
luis-fernando,94971,3,265,mei,Nulo,0,1,0,0,Bahia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
max,94982,3,265,mei,Nulo,0,1,0,0,Bahia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
marco-antonio,94975,3,265,mei,Nulo,0,3,0,0,Bahia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
artur,95799,3,265,ata,Provável,12,11.97,3.23,7,Bahia,NA,4,4,NA,3,2,1,11,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
gregore,95464,3,265,mei,Provável,1.7,11.46,-0.8,4.1,Bahia,NA,12,NA,1,2,NA,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
ricardinho,78577,3,354,mei,Provável,-0.2,2.65,-0.47,-0.07,Ceará,NA,3,1,1,1,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
shaylon,97520,3,265,mei,Nulo,2,4.4,0.1,0.95,Bahia,NA,1,NA,1,2,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
