atletas.slug,atletas.atleta_id,atletas.rodada_id,atletas.clube_id,atletas.posicao_id,atletas.status_id,atletas.pontos_num,atletas.preco_num,atletas.variacao_num,atletas.media_num,atletas.clube.id.full.name,CA,FC,FD,FF,FS,G,I,PE,RB,DD,GS,SG,A,FT,DP,GC,PP,CV
vitinho,101960,3,293,ata,Nulo,1.8,1.23,0.51,0.9,Athlético-PR,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
demethryus,101678,3,293,mei,Nulo,0,1,0,0,Athlético-PR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
plata,98841,3,293,ata,Nulo,0,3,0,0,Athlético-PR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
caio,99460,3,293,gol,Nulo,0,1,0,0,Athlético-PR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
braian-romero,101997,3,293,ata,Nulo,-0.8,2.06,-0.62,-0.65,Athlético-PR,1,3,NA,1,1,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
tiepo,98412,3,315,gol,Provável,1.5,15.23,-0.96,7.5,Chapecoense,NA,NA,NA,NA,1,NA,NA,NA,NA,7,2,1,NA,NA,NA,NA,NA,NA
kendy,98421,3,315,mei,Nulo,0,2,0,0,Chapecoense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
diego-torres,98794,3,315,mei,Provável,3.1,3.78,0.1,1.7,Chapecoense,NA,NA,1,2,3,NA,NA,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
gabriel,102290,3,293,gol,Nulo,0,1,0,0,Athlético-PR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
renzo,104332,3,293,mei,Nulo,0,1,0,0,Athlético-PR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lucas-halter,102253,3,293,zag,Nulo,0,3,0,0,Athlético-PR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gabriel-poveda,102877,3,293,ata,Nulo,0,2,0,0,Athlético-PR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
yann-rolim,102892,3,315,mei,Contundido,0,4,0,0,Chapecoense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
orzusa,99160,3,315,mei,Nulo,0,2,0,0,Chapecoense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bruno-leite,102301,3,293,mei,Contundido,0,2,0,0,Athlético-PR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
julian,104333,3,314,mei,Nulo,0,2,0,0,Avaí,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
igor-campos,101421,3,315,gol,Nulo,0,1,0,0,Chapecoense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
christian,104502,3,293,mei,Nulo,0,1,0,0,Athlético-PR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bruno-silva,101422,3,315,ata,Nulo,-0.3,2.8,-1.2,-0.3,Chapecoense,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bento,105208,3,293,gol,Nulo,0,1,0,0,Athlético-PR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
weverton-almeida,100459,3,293,zag,Contundido,0,2,0,0,Athlético-PR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
renato,39572,3,315,ata,Provável,3.3,5.41,0.45,2.27,Chapecoense,NA,NA,1,2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
diego-tardelli,38231,3,284,ata,Nulo,0,9.96,0,1.9,Grêmio,NA,NA,3,NA,1,NA,NA,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
marcelo-oliveira,50328,3,284,zag,Contundido,0,5,0,0,Grêmio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
amaral,42232,3,315,mei,Nulo,0,3.47,0,0,Chapecoense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
julio-cesar,49673,3,284,gol,Nulo,5,6.05,0.05,5,Grêmio,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA
khellven,105175,3,293,lat,Nulo,0,1,0,0,Athlético-PR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elicarlos,50313,3,315,mei,Contundido,0,6,0,0,Chapecoense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
eduardo,50645,3,315,lat,Provável,0.9,9.19,-0.66,3.3,Chapecoense,NA,NA,NA,NA,2,NA,NA,7,4,NA,NA,1,NA,NA,NA,NA,NA,NA
alex-amado,78475,3,354,ata,Nulo,0,2,0,0,Ceará,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rafael-pereira,51194,3,315,zag,Nulo,0,5,0,0,Chapecoense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gerson-junior,104824,3,341,ata,Nulo,0,1,0,0,CSA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
alan-ruschel,63110,3,315,lat,Nulo,-2.3,6.09,-1.59,1.67,Chapecoense,NA,11,1,NA,8,NA,NA,4,1,NA,NA,1,NA,NA,NA,NA,NA,NA
paulo-victor,68873,3,284,gol,Provável,0,1.86,0,-1.95,Grêmio,NA,NA,NA,NA,NA,NA,NA,3,NA,1,3,NA,NA,NA,NA,NA,NA,NA
marinho,68952,3,284,ata,Nulo,3.7,6.33,-0.67,3.7,Grêmio,NA,1,1,1,2,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
paulo-miranda,68817,3,284,zag,Nulo,0,5,0,0,Grêmio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lucas-romero,84558,3,283,mei,Nulo,0,1.43,0,-0.25,Cruzeiro,2,5,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
andre,68690,3,284,ata,Provável,14.2,12.53,3.97,7.43,Grêmio,NA,2,2,3,5,1,NA,5,1,NA,NA,NA,1,1,NA,NA,NA,NA
douglas,63128,3,315,zag,Provável,-2.5,2.83,-1.29,-0.2,Chapecoense,2,4,NA,1,1,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
michel,71920,3,284,mei,Nulo,4.8,4.85,1.16,1.65,Grêmio,NA,3,NA,1,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,1,NA,NA
neto,69008,3,315,zag,Nulo,0,2,0,0,Chapecoense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gum,68887,3,315,zag,Provável,1.7,5.75,-0.01,1.63,Chapecoense,NA,NA,1,2,NA,NA,1,8,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
alisson,81845,3,284,mei,Provável,5.6,6.45,0.76,3.9,Grêmio,NA,2,1,NA,1,NA,NA,3,2,NA,NA,NA,1,NA,NA,NA,NA,NA
leonardo,86973,3,284,lat,Provável,0,4.44,0,0.45,Grêmio,1,3,1,1,NA,NA,NA,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
tharlis,102997,3,315,mei,Nulo,0,3.43,0,2.9,Chapecoense,NA,2,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
raniel,86797,3,283,ata,Contundido,0,8,0,0,Cruzeiro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
augusto,71042,3,315,mei,Provável,4.2,4.33,0.33,4.2,Chapecoense,NA,1,1,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
luan,86759,3,284,ata,Nulo,5.9,9.82,0.99,2.17,Grêmio,NA,1,3,NA,2,NA,1,7,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
trellez,87679,3,285,ata,Nulo,0,6,0,0,Internacional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vini-locatelli,102998,3,315,mei,Nulo,0,1,0,0,Chapecoense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gustavo-campanharo,72497,3,315,mei,Nulo,5.2,3.64,1.48,2.1,Chapecoense,NA,4,1,2,2,NA,NA,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
roberto,71116,3,315,lat,Nulo,0,4,0,0,Chapecoense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
regis,102999,3,315,mei,Provável,0.7,4.01,-0.24,1.9,Chapecoense,NA,4,NA,3,1,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
rildo,73635,3,315,ata,Contundido,0,6,0,0,Chapecoense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pepe,91201,3,284,ata,Nulo,0,5,0,0,Grêmio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vagner-love,38959,3,264,ata,Nulo,0.2,3.27,-0.4,-1.13,Corinthians,1,3,NA,1,1,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
thaciano,87470,3,284,mei,Nulo,0,3.88,0,0.6,Grêmio,NA,NA,NA,NA,1,NA,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
jadson,38315,3,264,mei,Nulo,-2.7,4.12,-2.82,-1.35,Corinthians,1,2,NA,2,1,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
henrique,50856,3,264,zag,Dúvida,0,8,0,0,Corinthians,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rodrigues,91251,3,284,zag,Nulo,0,2,0,0,Grêmio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
renato-gaucho,41929,3,284,tec,Provável,5.94,11.07,0.8,4,Grêmio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
walter,51413,3,264,gol,Nulo,0,7,0,0,Corinthians,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
felipe-vizeu,94138,3,284,ata,Nulo,0,2.38,-0.39,-0.1,Grêmio,NA,2,NA,1,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vico,95622,3,284,ata,Nulo,0,1,0,0,Grêmio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
juninho-capixaba,94968,3,284,lat,Nulo,0,6.61,0,6.9,Grêmio,NA,3,NA,NA,6,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
guilherme-guedes,100741,3,284,lat,Nulo,0,3,0,0,Grêmio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
boselli,69161,3,264,ata,Provável,0,3.1,0,-0.9,Corinthians,1,NA,NA,NA,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
manoel,69014,3,264,zag,Provável,0,10.27,0,5.1,Corinthians,1,1,NA,1,NA,NA,NA,2,5,NA,NA,1,NA,NA,NA,NA,NA,NA
fabio-carille,70696,3,264,tec,Provável,3.03,9.97,-0.27,3.87,Corinthians,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jean-pyerre,98832,3,284,mei,Provável,8.9,9.31,1.89,6.8,Grêmio,NA,1,1,1,1,1,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
matheus-henrique,100742,3,284,mei,Provável,-2.9,3.47,-1.62,0.43,Grêmio,2,3,NA,1,6,NA,NA,10,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
gustavo,86932,3,264,ata,Contundido,0,5,0,0,Corinthians,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
brenno,100830,3,284,gol,Nulo,0,2,0,0,Grêmio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
marllon,70666,3,264,zag,Nulo,6.7,5.9,0.9,6.7,Corinthians,NA,NA,NA,1,4,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
junior-urso,71829,3,264,mei,Dúvida,0,9,0,0,Corinthians,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
marcos-vinicius,73721,3,315,mei,Nulo,0,5,0,0,Chapecoense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
danilo-avelar,72142,3,264,lat,Provável,0,6,0,0,Corinthians,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
moises-ribeiro,78991,3,315,mei,Suspenso,0,3,0,0,Chapecoense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
emanuel,100840,3,284,zag,Nulo,0,2,0,0,Grêmio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
antonini,103069,3,284,zag,Nulo,0,1,0,0,Grêmio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
joilson,80779,3,315,zag,Nulo,0,2,0,0,Chapecoense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
thonny-anderson,101484,3,284,mei,Nulo,0,4,0,0,Grêmio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
everaldo,78117,3,315,ata,Provável,12.9,17.99,2.95,10,Chapecoense,NA,8,2,5,3,3,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
rene-junior,73281,3,264,mei,Nulo,0,7,0,0,Corinthians,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ramiro,78715,3,264,mei,Dúvida,0,14.09,-1.41,4.87,Corinthians,NA,4,1,1,3,NA,NA,3,6,NA,NA,NA,1,NA,NA,NA,NA,NA
gabriel,78605,3,264,mei,Contundido,0,7,0,0,Corinthians,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vinicius-freitas,81537,3,315,lat,Nulo,0,3,0,0,Chapecoense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
michel,80664,3,264,lat,Nulo,0.9,2.48,-0.52,0.9,Corinthians,NA,1,NA,NA,1,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
aylon,85930,3,315,ata,Nulo,0,2.34,0,-0.2,Chapecoense,1,NA,1,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
victor-andrade,80536,3,315,ata,Contundido,0,3,0,0,Chapecoense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
david,90309,3,283,ata,Nulo,1.3,5.6,-0.48,2.65,Cruzeiro,NA,4,1,3,3,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
thiago-santos,93151,3,315,ata,Contundido,0,3,0,0,Chapecoense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bruno-pacheco,90061,3,315,lat,Provável,4.7,14.74,0.06,7.23,Chapecoense,NA,1,NA,NA,4,NA,NA,1,7,NA,NA,1,1,NA,NA,NA,NA,NA
regis,82647,3,264,mei,Nulo,0,5,0,0,Corinthians,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pedro-henrique,87225,3,264,zag,Dúvida,4.5,8.82,0.49,4.43,Corinthians,NA,NA,NA,1,3,NA,NA,5,5,NA,NA,1,NA,NA,NA,NA,NA,NA
perotti,94286,3,315,ata,Nulo,0,1.66,0,0.5,Chapecoense,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lourency,94249,3,315,ata,Nulo,0,3,0,0,Chapecoense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hiago,97535,3,315,zag,Nulo,0,2,0,0,Chapecoense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
clayson,83817,3,264,ata,Provável,0.2,11.17,-1.16,4.07,Corinthians,NA,4,3,1,3,1,NA,9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
ralf,52190,3,264,mei,Provável,3.3,10.89,-0.32,5.2,Corinthians,NA,1,NA,1,6,NA,NA,4,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
angel-romero,88323,3,264,ata,Nulo,0,6,0,0,Corinthians,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
orejuela,95352,3,283,lat,Nulo,2.9,5.34,-0.66,2.9,Cruzeiro,NA,3,1,NA,1,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
richard,86711,3,264,mei,Nulo,4.2,5.05,0.05,4.2,Corinthians,NA,2,NA,NA,2,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
murilo,97653,3,283,zag,Nulo,0,2.22,0,-1.8,Cruzeiro,NA,3,NA,NA,1,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,1
andre-luis,92146,3,264,ata,Nulo,2.9,3.88,-0.12,2.9,Corinthians,NA,NA,NA,NA,4,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
caique-franca,91808,3,264,gol,Nulo,0,3,0,0,Corinthians,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fabricio-bruno,90768,3,283,zag,Nulo,0,5,0,0,Cruzeiro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rafael-santos,97907,3,283,lat,Nulo,0,1,0,0,Cruzeiro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sergio-diaz,94010,3,264,ata,Nulo,0,2,0,0,Corinthians,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vitor-eudes,102137,3,283,gol,Nulo,0,2,0,0,Cruzeiro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bruno,42499,3,285,lat,Nulo,0,5.13,0,2.4,Internacional,NA,2,NA,1,1,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
rafael-sobis,37798,3,285,ata,Nulo,0,6.35,-1.7,1.3,Internacional,NA,2,NA,2,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
caca,102340,3,283,zag,Nulo,0,2,0,0,Cruzeiro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
edenilson,63289,3,285,mei,Provável,-2.7,7.23,-2.29,0.45,Internacional,1,4,NA,NA,1,NA,NA,7,1,NA,NA,NA,1,NA,NA,NA,NA,NA
marcelo-cabo,37333,3,341,tec,Provável,5.44,4.45,1.41,3.08,CSA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
d-alessandro,62023,3,285,mei,Provável,-0.9,8.51,-1.89,3.2,Internacional,NA,NA,1,NA,1,NA,NA,6,1,NA,NA,NA,1,NA,NA,NA,NA,NA
camilo,62009,3,285,mei,Nulo,0,6.73,0,3.7,Internacional,NA,NA,1,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
uendel,60852,3,285,lat,Nulo,0,1.8,0,-1.4,Internacional,NA,3,1,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mateus-vital,93108,3,264,mei,Nulo,12.4,7.06,3.78,4.2,Corinthians,NA,NA,1,2,3,1,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
fessin,97994,3,264,mei,Nulo,0,2,0,0,Corinthians,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
carlinhos,38451,3,341,lat,Provável,5.6,4.36,0.75,2.4,CSA,NA,NA,NA,NA,2,NA,NA,9,1,NA,NA,1,NA,NA,NA,NA,NA,NA
michel,103579,3,283,mei,Nulo,0,2,0,0,Cruzeiro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
madson,42467,3,341,mei,Provável,2.6,7.39,-0.02,2.9,CSA,NA,1,1,4,9,NA,NA,9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
wellington-silva,68895,3,285,ata,Nulo,0,6,0,0,Internacional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rithely,68834,3,285,mei,Nulo,0,6,0,0,Internacional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fabricio,61228,3,341,gol,Nulo,0,1,0,0,CSA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
filipe,100712,3,264,gol,Nulo,0,2,0,0,Corinthians,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pedrinho,98706,3,264,mei,Provável,0.2,9.6,-1.01,2.97,Corinthians,NA,1,NA,NA,4,1,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
danilo-fernandes,69051,3,285,gol,Contundido,0,7,0,0,Internacional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
paolo-guerrero,75295,3,285,ata,Provável,-2.6,11.46,-3.15,4.7,Internacional,1,2,1,2,3,1,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
carlos-augusto,101803,3,264,lat,Nulo,-0.2,5.59,-1.45,4.23,Corinthians,1,3,NA,1,NA,1,NA,7,3,NA,NA,1,NA,NA,NA,NA,NA,NA
didira,63178,3,341,mei,Provável,2.1,5.44,0.01,2.03,CSA,NA,1,NA,NA,6,NA,NA,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
william-pottker,77809,3,285,ata,Nulo,0,8.53,0,2.3,Internacional,NA,NA,1,NA,1,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
marcelo-lomba,68872,3,285,gol,Provável,4.5,8.11,0.57,2.5,Internacional,NA,NA,NA,NA,1,NA,NA,NA,NA,5,4,NA,NA,NA,NA,NA,NA,NA
vinicius-popo,105201,3,283,ata,Nulo,0,2,0,0,Cruzeiro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
marquinhos,102292,3,264,mei,Nulo,0,1,0,0,Corinthians,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ederson,103099,3,283,mei,Nulo,0,2,0,0,Cruzeiro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
leandro-souza,62057,3,341,zag,Nulo,0,3.62,0,0,CSA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
luciano-castan,68942,3,341,zag,Provável,5.6,6.37,1.11,3.73,CSA,NA,2,NA,NA,NA,NA,NA,6,6,NA,NA,1,NA,NA,NA,NA,NA,NA
cassiano,72033,3,341,ata,Provável,0.5,3.76,-0.46,1.37,CSA,NA,3,1,1,7,NA,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
emerson-santos,86972,3,285,zag,Contundido,0,2.78,0,-1,Internacional,1,2,1,NA,1,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
rodrigo-dourado,78865,3,285,mei,Nulo,0,7.12,0,1.4,Internacional,1,2,NA,NA,1,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
armero,68693,3,341,lat,Nulo,4.5,4.23,1.08,2.55,CSA,NA,1,NA,NA,NA,NA,NA,3,1,NA,NA,1,NA,NA,NA,NA,NA,NA
guilherme-parede,83438,3,285,ata,Nulo,1.3,4.35,-0.28,2.65,Internacional,NA,1,NA,2,3,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
ronaldo-alves,68950,3,341,zag,Contundido,0,6,0,0,CSA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
neilton,83772,3,285,ata,Nulo,0,7.84,0,5.3,Internacional,NA,1,1,1,4,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
araos,102352,3,264,mei,Nulo,0,4,0,0,Corinthians,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
matheus-galdezani,82634,3,285,mei,Contundido,0,5,0,0,Internacional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
maidana,70820,3,341,mei,Contundido,0,2.89,0,0,CSA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
joao-carlos,69010,3,341,gol,Nulo,0,0.69,0,-6,CSA,NA,1,NA,NA,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,1
rodrigo-lindoso,72362,3,285,mei,Provável,3.3,6.66,-0.21,3.1,Internacional,NA,1,1,1,1,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
zeca,87192,3,285,lat,Provável,2.9,5.68,0.17,2.8,Internacional,2,4,NA,NA,1,NA,NA,3,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
amaral,72071,3,341,mei,Contundido,0,4,0,0,CSA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
